task,run,seed,phylum,test_n,positive_n,AUPRC,AUROC,F1,R2,RMSE,Spearman_rho
regression_tRNA_positive_only,1,42,Actinomycetota,40,40,,,,0.8580684160198104,3.290249665427985,
regression_tRNA_positive_only,1,42,Bacillota,160,160,,,,0.6706141280356979,5.540171550873032,
regression_tRNA_positive_only,1,42,Methanobacteriota,23,23,,,,-1.2114527698413262,3.3484235290498963,
regression_tRNA_positive_only,1,42,Pseudomonadota,571,571,,,,0.911185907367266,2.517314671615898,
regression_tRNA_positive_only,2,43,Actinomycetota,58,58,,,,0.8015036920069875,4.726038205525734,
regression_tRNA_positive_only,2,43,Bacillota,128,128,,,,0.3273771287544647,5.263235020495032,
regression_tRNA_positive_only,2,43,Methanobacteriota,18,18,,,,0.6074784838402661,3.458468283420133,
regression_tRNA_positive_only,2,43,Pseudomonadota,594,594,,,,0.8649910291133783,3.568365031753417,
regression_tRNA_positive_only,3,44,Actinomycetota,46,46,,,,0.7443732733700594,2.873080735551109,
regression_tRNA_positive_only,3,44,Bacillota,170,170,,,,0.5930825943029527,6.784382791181884,
regression_tRNA_positive_only,3,44,Methanobacteriota,18,18,,,,0.4159619507133474,4.971082308089308,
regression_tRNA_positive_only,3,44,Pseudomonadota,566,566,,,,0.8760991083005516,2.746910651140749,
classification,1,42,Actinomycetota,439,52,0.6495232691244506,0.8804412641621944,0.5858585858585859,,,
classification,1,42,Bacillota,2446,154,0.8774954278670343,0.9681940005892886,0.8271186440677966,,,
classification,1,42,Bacteroidota,117,8,0.7494047619047619,0.9552752293577982,0.6666666666666666,,,
classification,1,42,Cyanobacteriota,113,7,0.2479560702999735,0.7142857142857142,0.2222222222222222,,,
classification,1,42,Deinococcota,41,5,0.2541269841269841,0.7666666666666667,0.0,,,
classification,1,42,Fusobacteriota,26,5,1.0,1.0,0.8888888888888888,,,
classification,1,42,Methanobacteriota,102,14,0.6869389084998762,0.8847402597402597,0.6153846153846154,,,
classification,1,42,Mycoplasmatota,23,2,0.75,0.9523809523809524,0.5,,,
classification,1,42,Pseudomonadota,8427,568,0.9360460237263674,0.9852308916484016,0.8888888888888888,,,
classification,1,42,Spirochaetota,422,2,0.0551282051282051,0.7595238095238095,0.0,,,
classification,1,42,Unclassified,84,4,1.0,1.0,1.0,,,
classification,2,43,Actinomycetota,491,52,0.6059970992928929,0.8533380059575959,0.5842696629213483,,,
classification,2,43,Bacillota,2452,145,0.930753491628696,0.9863922395109338,0.8768115942028986,,,
classification,2,43,Bacteroidota,107,7,0.7060224089635854,0.9414285714285716,0.6666666666666666,,,
classification,2,43,Campylobacterota,105,1,1.0,1.0,1.0,,,
classification,2,43,Chlamydiota,21,1,1.0,1.0,0.0,,,
classification,2,43,Cyanobacteriota,104,4,0.5541666666666667,0.8174999999999999,0.4,,,
classification,2,43,Deinococcota,43,5,0.4922222222222221,0.9105263157894736,0.25,,,
classification,2,43,Fusobacteriota,26,4,0.95,0.9886363636363636,0.8571428571428571,,,
classification,2,43,Methanobacteriota,125,18,0.6194050029834799,0.9034267912772588,0.4827586206896552,,,
classification,2,43,Pseudomonadota,8443,576,0.9340327205791707,0.9810813101139784,0.8975069252077562,,,
classification,2,43,Spirochaetota,357,2,0.7,0.9957746478873238,0.0,,,
classification,2,43,Unclassified,81,8,0.9226190476190476,0.9777397260273972,0.9333333333333332,,,
classification,3,44,Actinomycetota,464,68,0.7469447663712951,0.8797162804515747,0.6371681415929203,,,
classification,3,44,Bacillota,2421,148,0.8468068581988452,0.9650301423288664,0.8041958041958042,,,
classification,3,44,Bacteroidota,120,4,0.390625,0.8577586206896551,0.5,,,
classification,3,44,Cyanobacteriota,108,7,0.5013095238095238,0.7892503536067893,0.6153846153846154,,,
classification,3,44,Deinococcota,53,5,0.5073717948717948,0.875,0.4444444444444444,,,
classification,3,44,Methanobacteriota,121,16,0.6456316585670587,0.8303571428571428,0.6111111111111112,,,
classification,3,44,Mycoplasmatota,29,3,0.4233716475095785,0.5384615384615384,0.5,,,
classification,3,44,Pseudomonadota,8465,568,0.9282257310652354,0.9845724976680394,0.8829311885612153,,,
classification,3,44,Spirochaetota,366,1,1.0,1.0,0.0,,,
classification,3,44,Unclassified,68,4,1.0,1.0,1.0,,,
